Departamento,Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ANTIOQUIA,CELSIA COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,4,0,0,0,4
ANTIOQUIA,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,usuarios Empresa Departamento,78,469,7,0,0,0,554,0,20,2,17,39
ANTIOQUIA,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,2,35,0,0,37
ANTIOQUIA,E2 ENERGIA EFICIENTE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,0,13,0,0,13
ANTIOQUIA,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,8,7,0,0,15
ANTIOQUIA,EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
ANTIOQUIA,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
ANTIOQUIA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,usuarios Empresa Departamento,409762,732924,525605,143615,89782,38250,1939938,17440,150083,10857,3183,181563
ANTIOQUIA,ENEL COLOMBIA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,17,20,4,1,42
ANTIOQUIA,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,usuarios Empresa Departamento,0,0,0,0,0,0,0,1,0,0,0,1
ANTIOQUIA,ENERTOTAL S.A. E.S.P.,usuarios Empresa Departamento,4,910,122,28,368,0,1432,190,1777,312,38,2317
ANTIOQUIA,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,usuarios Empresa Departamento,0,0,0,0,0,0,0,3,0,0,0,3
