Año;Departamento;Empresa;Variable Calculada;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;Total Residencial;Industrial;Comercial;Oficial;Otros;Total No Residencial
2014;ANTIOQUIA;CELSIA COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;6883624;0;0;0;6883624
2014;ANTIOQUIA;CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO;Consumo Empresa Departamento;40013;294068;3334;0;0;0;337415;0;32008;7508;62671;102187
2014;ANTIOQUIA;DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;2771142;7084522;0;0;9855664
2014;ANTIOQUIA;E2 ENERGIA EFICIENTE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;0;4013338;0;0;4013338
2014;ANTIOQUIA;ELECTRIFICADORA DEL CARIBE S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;22517822;3522763;0;0;26040585
2014;ANTIOQUIA;EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;1673492;0;0;0;1673492
2014;ANTIOQUIA;EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P;Consumo Empresa Departamento;0;0;0;0;0;0;0;4423455;6674980;5514719;0;16613154
2014;ANTIOQUIA;EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.;Consumo Empresa Departamento;478737591;1106115491;918245004;287000314;218836335;133750824;3142685559;1800546903;1609081473;348601627;414116035;4172346038
2014;ANTIOQUIA;ENEL COLOMBIA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;100737987;32139961;2622195;507307;136007450
2014;ANTIOQUIA;ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.;Consumo Empresa Departamento;0;0;0;0;0;0;0;7130120;899184;0;0;8029304
2014;ANTIOQUIA;ENERTOTAL S.A. E.S.P.;Consumo Empresa Departamento;14276;1128318;395794;143085;945190;0;2626663;21833430;43556776;734933;5059348;71184487
